OBJECTID,CRASH ID,CRASH LEVEL CODE,CRASH LEVEL,CRASH TYPE (Code),CRASH TYPE,DATE,YEAR,DAY OF MONTH,MONTH,DAY (Code),DAY OF WEEK (Code),DAY OF WEEK,TIME (Military),CASE NUMBER,LATITUDE,LONGITUDE,x,y
1,2244275,1,fatality,14,Pedestrian,15/02/2024,2024,2,February,16,6,Friday,0006,20240211000600,35.191723,-80.880457,-9003571.65,4189967.09
2,2244273,1,fatality,14,Pedestrian,09/02/2024,2024,2,February,10,7,Saturday,1922,2024021019220,35.281510,-80.805047,-8995177.046,4202204.281
151,1000265,2,Serious injury,1,Ran off road right,01/02/2020,2020,2,February,1,7,Saturday,2316,20200201231603,35.196947,-80.933364,-9009461.232,4190678.705
641,1001283,2,Serious injury,27,Head On,06/02/2020,2020,2,February,6,5,Thursday,1810,20200206181002,35.249317,-80.737116,-8987614.999,4197815.096
647,1001289,2,Serious injury,2,Ran off road left,06/02/2020,2020,2,February,6,5,Thursday,1935,20200206193503,35.289877,-80.836901,-8998723.018,4203345.321
1009,1002084,1,fatality,14,Pedestrian,05/02/2020,2020,2,February,5,4,Wednesday,0857,20200205085704,35.146096,-80.926843,-9008735.317,4183753.708
1325,1002733,2,Serious injury,22,Rear end; turn,02/02/2020,2020,2,February,2,1,Sunday,2000,20200202000301,35.232157,-80.833913,-8998390.395,4195476.218
1462,1003088,1,fatality,15,Pedalcyclist,08/02/2020,2020,2,February,8,7,Saturday,2108,20200208210800,35.244256,-80.793367,-8993876.833,4197125.239
2470,1005322,2,Serious injury,27,Head On,25/02/2020,2020,2,February,25,3,Tuesday,1509,20200225150901,35.285626,-80.921512,-9008141.874,4202765.581
2726,1005903,1,fatality,14,Pedestrian,31/01/2020,2020,2,February,1,7,Saturday,1920,20200201191904,35.303779,-80.722610,-8986000.198,4205241.452
2782,1006178,2,Serious injury,2,Ran off road left,02/03/2020,2020,3,March,2,2,Monday,1100,20200302110002,35.329983,-80.950983,-9011422.572,4208816.37
3022,1006640,2,Serious injury,30,Angle,04/03/2020,2020,3,March,4,4,Wednesday,1624,20200304162400,35.274548,-80.793543,-8993896.426,4201254.936
3142,1006871,2,Serious injury,28,Sideswipe; same direction,05/03/2020,2020,3,March,5,5,Thursday,2027,20200305202700,35.136880,-80.838978,-8998954.227,4182499.117
3355,1007308,2,Serious injury,14,Pedestrian,07/03/2020,2020,3,March,7,7,Saturday,1628,20200307162806,35.175824,-80.750520,-8989107.125,4187801.605
3501,1007664,2,Serious injury,23,Left turn; same roadway,08/03/2020,2020,3,March,8,1,Sunday,2024,20200308202403,35.272167,-80.854272,-9000656.749,4200930.279
4108,1008945,2,Serious injury,24,Left turn; different roadways,13/03/2020,2020,3,March,13,6,Friday,1942,20200313194200,35.195311,-80.709808,-8984575.085,4190455.844
4247,1009306,1,fatality,14,Pedestrian,05/03/2020,2020,3,March,5,5,Thursday,2155,20200305215801,35.210388,-80.664468,-8979527.858,4192509.854
4732,1010573,2,Serious injury,30,Angle,23/03/2020,2020,3,March,23,2,Monday,1337,20200323133702,35.215643,-80.923077,-9008316.088,4193225.855
4834,1010887,1,fatality,2,Ran off road left,04/02/2020,2020,2,February,4,3,Tuesday,1331,20200201133102,35.252946,-80.736633,-8987561.231,4198309.786
4844,1010906,1,fatality,2,Ran off road left,22/03/2020,2020,3,March,22,1,Sunday,2011,20200322201103,35.117427,-80.979326,-9014577.7,4179851.409
4933,1011112,2,Serious injury,20,Parked motor vehicle,27/03/2020,2020,3,March,27,6,Friday,2255,20200327225701,35.091147,-80.775685,-8991908.481,4176275.499
5237,1012164,2,Serious injury,14,Pedestrian,02/04/2020,2020,4,April,2,5,Thursday,0807,20200402080800,35.081580,-80.772736,-8991580.199,4174974.006
5273,1012202,2,Serious injury,2,Ran off road left,03/04/2020,2020,4,April,3,6,Friday,1526,20200403152606,35.245830,-80.781164,-8992518.401,4197339.784
5350,1012493,2,Serious injury,1,Ran off road right,04/04/2020,2020,4,April,4,7,Saturday,2309,20200404230901,35.251416,-80.689370,-8982299.937,4198101.22
5881,1014220,1,fatality,24,Left turn; different roadways,17/02/2020,2020,2,February,17,2,Monday,1039,20200217103900,35.291065,-80.903318,-9006116.527,4203507.343
6232,1015232,2,Serious injury,1,Ran off road right,18/04/2020,2020,4,April,18,7,Saturday,2112,20200418211202,35.169279,-80.805608,-8995239.495,4186910.281
6490,1016045,2,Serious injury,1,Ran off road right,27/04/2020,2020,4,April,27,2,Monday,1410,20200427141000,35.230168,-80.860398,-9001338.692,4195205.152
6504,1016159,1,fatality,15,Pedalcyclist,17/02/2020,2020,2,February,17,2,Monday,2300,20200217230101,35.225554,-80.682622,-8981548.752,4194576.373
6692,1016690,1,fatality,14,Pedestrian,27/04/2020,2020,4,April,27,2,Monday,1158,20200427115803,35.430930,-80.910017,-9006862.257,4222599.058
6826,1018135,1,fatality,14,Pedestrian,22/01/2020,2020,1,January,22,4,Wednesday,2006,20200122200603,35.306841,-80.851516,-9000349.953,4205659.13
6827,1018142,1,fatality,23,Left turn; same roadway,08/03/2020,2020,3,March,8,1,Sunday,0333,20200308033301,35.224451,-80.896461,-9005353.208,4194426.064
6841,1018160,2,Serious injury,14,Pedestrian,01/05/2020,2020,5,May,1,6,Friday,1933,20200501193303,35.148896,-80.975287,-9014128.081,4184134.905
6902,1018326,1,fatality,24,Left turn; different roadways,12/03/2020,2020,3,March,12,5,Thursday,1252,20200312125201,35.162908,-80.715919,-8985255.358,4186042.723
7001,1018542,2,Serious injury,21,Rear end; slow or stop,05/05/2020,2020,5,May,5,3,Tuesday,2300,20200505230201,35.136419,-80.977827,-9014410.832,4182436.363
7012,1018555,2,Serious injury,28,Sideswipe; same direction,06/05/2020,2020,5,May,6,4,Wednesday,1426,20200506142600,35.235108,-80.840868,-8999164.622,4195878.399
7324,1019412,2,Serious injury,14,Pedestrian,09/05/2020,2020,5,May,9,7,Saturday,0253,20200509025301,35.271063,-80.934111,-9009544.388,4200779.748
7342,1019436,2,Serious injury,21,Rear end; slow or stop,11/05/2020,2020,5,May,11,2,Monday,0719,20200511071901,35.213892,-80.890029,-9004637.201,4192987.274
7423,1019743,2,Serious injury,14,Pedestrian,10/05/2020,2020,5,May,10,1,Sunday,2119,20200510211905,35.293654,-80.748023,-8988829.161,4203860.444
7521,1019962,2,Serious injury,14,Pedestrian,14/05/2020,2020,5,May,14,5,Thursday,1600,20200514160200,35.335463,-80.754851,-8989589.251,4209564.134
7597,1020252,2,Serious injury,23,Left turn; same roadway,02/05/2020,2020,5,May,2,7,Saturday,2230,20200502223004,35.174748,-80.895763,-9005275.507,4187655.065
7898,1020997,2,Serious injury,1,Ran off road right,19/05/2020,2020,5,May,19,3,Tuesday,1751,20200519175101,35.167079,-80.908336,-9006675.127,4186610.692
7955,1021165,1,fatality,1,Ran off road right,18/05/2020,2020,5,May,18,2,Monday,2024,20200518202402,35.239424,-80.654049,-8978368.02,4196466.638
8475,1022671,1,fatality,27,Head On,19/04/2020,2020,4,April,19,1,Sunday,2013,20200419201302,35.152881,-80.890116,-9004646.885,4184677.453
8598,1023018,1,fatality,1,Ran off road right,17/04/2020,2020,4,April,17,6,Friday,2212,20200417221205,35.236988,-80.822819,-8997155.416,4196134.625
8999,1024109,2,Serious injury,1,Ran off road right,29/05/2020,2020,5,May,29,6,Friday,0920,20200529092007,35.261946,-80.849902,-9000170.283,4199536.722
9232,1024683,2,Serious injury,13,Other non-collision*,01/06/2020,2020,6,June,1,2,Monday,2047,20200601204704,35.215620,-80.841919,-8999281.619,4193222.722
9255,1024712,2,Serious injury,27,Head On,09/06/2020,2020,6,June,9,3,Tuesday,1348,20200609134802,35.301066,-80.986949,-9015426.29,4204871.392
9264,1024728,2,Serious injury,21,Rear end; slow or stop,09/06/2020,2020,6,June,9,3,Tuesday,1733,20200609173303,35.205682,-80.726025,-8986380.354,4191868.693
9462,1025161,2,Serious injury,14,Pedestrian,12/06/2020,2020,6,June,12,6,Friday,1041,20200612104104,35.326157,-80.862735,-9001598.847,4208294.33
9640,1025682,2,Serious injury,1,Ran off road right,15/06/2020,2020,6,June,15,2,Monday,0246,20200613024603,35.208249,-80.798653,-8994465.268,4192218.424
9959,1026345,2,Serious injury,21,Rear end; slow or stop,18/06/2020,2020,6,June,18,5,Thursday,0704,20200618070401,35.272929,-80.885164,-9004095.632,4201034.179
10086,1026700,2,Serious injury,14,Pedestrian,07/06/2020,2020,6,June,7,1,Sunday,2252,20200607225300,35.280788,-80.856530,-9000908.109,4202105.825
10280,1027225,1,fatality,1,Ran off road right,03/05/2020,2020,5,May,3,1,Sunday,1738,20200503173802,35.294506,-80.931964,-9009305.386,4203976.646
10282,1027230,1,fatality,21,Rear end; slow or stop,14/06/2020,2020,6,June,14,1,Sunday,1742,20200614174201,35.216324,-80.923256,-9008336.015,4193318.646
10299,1027250,2,Serious injury,14,Pedestrian,21/06/2020,2020,6,June,22,2,Monday,0026,20200622002600,35.264295,-80.854432,-9000674.56,4199856.975
10590,1029000,1,fatality,14,Pedestrian,13/06/2020,2020,6,June,13,7,Saturday,2250,20200613225001,35.307798,-80.844838,-8999606.561,4205789.674
10713,1029243,2,Serious injury,14,Pedestrian,27/06/2020,2020,6,June,27,7,Saturday,2105,20200627210600,35.220088,-80.834800,-8998489.135,4193831.531
11116,1030124,2,Serious injury,14,Pedestrian,02/07/2020,2020,7,July,2,5,Thursday,1653,20200702165300,35.232894,-80.824005,-8997287.441,4195576.659
11135,1030247,2,Serious injury,28,Sideswipe; same direction,26/06/2020,2020,6,June,26,6,Friday,1646,20200626164600,35.410615,-80.847871,-8999944.194,4219823.986
11339,1030781,1,fatality,23,Left turn; same roadway,04/05/2020,2020,5,May,4,2,Monday,1112,20200504111200,35.213099,-80.856248,-9000876.716,4192879.226
11441,1030999,2,Serious injury,27,Head On,06/07/2020,2020,7,July,6,2,Monday,0828,20200706082801,35.305030,-80.858330,-9001108.484,4205412.095
11481,1031041,2,Serious injury,28,Sideswipe; same direction,07/07/2020,2020,7,July,7,3,Tuesday,1549,20200707154904,35.180377,-80.753712,-8989462.457,4188421.692
11569,1031347,1,fatality,14,Pedestrian,26/04/2020,2020,4,April,26,1,Sunday,0333,20200426033300,35.231193,-80.729559,-8986773.757,4195344.841
11734,1031739,1,fatality,29,Sideswipe; opposite direction,09/04/2020,2020,4,April,9,5,Thursday,2110,20200409211000,35.293484,-80.816309,-8996430.726,4203837.258
11759,1031883,2,Serious injury,28,Sideswipe; same direction,11/07/2020,2020,7,July,11,7,Saturday,1239,20200711123901,35.157554,-80.734025,-8987270.91,4185313.705
11958,1032424,1,fatality,24,Left turn; different roadways,05/05/2020,2020,5,May,5,3,Tuesday,1558,20200505155802,35.197264,-80.876141,-9003091.195,4190721.888
11970,1032440,2,Serious injury,21,Rear end; slow or stop,06/07/2020,2020,7,July,6,2,Monday,1132,20200706113200,35.292147,-80.796564,-8994232.722,4203654.911
11979,1032450,2,Serious injury,24,Left turn; different roadways,11/07/2020,2020,7,July,11,7,Saturday,1452,20200711145201,35.234341,-80.738616,-8987781.978,4195773.866
12056,1032639,1,fatality,14,Pedestrian,26/05/2020,2020,5,May,26,3,Tuesday,1118,20200526111900,35.258154,-80.782817,-8992702.412,4199019.757
12134,1032834,1,fatality,27,Head On,15/06/2020,2020,6,June,15,2,Monday,2125,20200615212500,35.169608,-80.904743,-9006275.156,4186955.083
12187,1032899,2,Serious injury,1,Ran off road right,16/07/2020,2020,7,July,16,5,Thursday,1832,20200716183202,35.209652,-80.874148,-9002869.336,4192409.575
12419,1033488,2,Serious injury,13,Other non-collision*,18/07/2020,2020,7,July,18,7,Saturday,0628,20200718062801,35.234009,-80.836146,-8998638.971,4195728.618
12424,1033494,2,Serious injury,27,Head On,19/07/2020,2020,7,July,19,1,Sunday,0950,20200719095900,35.436507,-80.764444,-8990657.14,4223361.012
12555,1033858,2,Serious injury,2,Ran off road left,17/07/2020,2020,7,July,17,6,Friday,1730,20200717221404,35.219732,-80.752722,-8989352.251,4193783.021
12623,1033937,2,Serious injury,23,Left turn; same roadway,22/07/2020,2020,7,July,22,4,Wednesday,0543,20200722054300,35.215618,-80.780754,-8992472.76,4193222.45
13224,1034644,2,Serious injury,28,Sideswipe; same direction,28/02/2020,2020,2,February,29,7,Saturday,0001,20200229000102,35.245865,-80.846236,-8999762.185,4197344.554
13532,1035415,2,Serious injury,27,Head On,21/07/2020,2020,7,July,21,3,Tuesday,0302,20200721030200,35.267253,-80.919655,-9007935.153,4200260.27
13610,1035617,1,fatality,2,Ran off road left,17/06/2020,2020,6,June,17,4,Wednesday,2021,20200614202101,35.240239,-80.924954,-9008525.036,4196577.718
13695,1035825,1,fatality,3,Ran off road straight ahead,18/05/2020,2020,5,May,18,2,Monday,1647,20200518164703,35.298979,-80.689300,-8982292.145,4204586.731
13787,1036037,2,Serious injury,24,Left turn; different roadways,21/07/2020,2020,7,July,21,3,Tuesday,1615,20200721153600,35.187315,-80.904414,-9006238.532,4189366.666
13891,1036582,2,Serious injury,14,Pedestrian,01/08/2020,2020,8,August,1,7,Saturday,1635,20200801163501,35.211510,-80.899404,-9005680.821,4192662.723
14032,1036969,2,Serious injury,2,Ran off road left,02/08/2020,2020,8,August,2,1,Sunday,0357,20200802035701,35.428413,-80.934017,-9009533.925,4222255.193
14099,1037144,1,fatality,1,Ran off road right,21/05/2020,2020,5,May,21,5,Thursday,2345,20200521234502,35.240166,-80.641458,-8976966.396,4196567.77
14115,1037170,2,Serious injury,14,Pedestrian,02/08/2020,2020,8,August,2,1,Sunday,0438,20200802081400,35.289354,-80.758357,-8989979.537,4203273.995
14154,1037213,2,Serious injury,21,Rear end; slow or stop,04/08/2020,2020,8,August,4,3,Tuesday,2245,20200804225101,35.134584,-80.782344,-8992649.757,4182186.58
14361,1037770,2,Serious injury,5,Overturn/rollover,07/08/2020,2020,8,August,7,6,Friday,1813,20200807181300,35.259878,-80.903239,-9006107.732,4199254.787
14702,1038797,2,Serious injury,24,Left turn; different roadways,13/08/2020,2020,8,August,13,5,Thursday,2341,20200813234104,35.272143,-80.854277,-9000657.306,4200927.006
15017,1039586,1,fatality,2,Ran off road left,16/06/2020,2020,6,June,16,3,Tuesday,0435,20200616043500,35.336996,-80.842485,-8999344.626,4209773.326
15024,1039601,2,Serious injury,23,Left turn; same roadway,09/08/2020,2020,8,August,9,1,Sunday,2335,20200809233500,35.214269,-80.772079,-8991507.063,4193038.642
15151,1039854,2,Serious injury,30,Angle,18/08/2020,2020,8,August,19,4,Wednesday,0037,20200819004001,35.136421,-80.977826,-9014410.721,4182436.635
15187,1039997,1,fatality,48,,27/06/2020,2020,6,June,27,7,Saturday,1604,20200627160402,35.175003,-80.718294,-8985519.742,4187689.794
15353,1040396,1,fatality,2,Ran off road left,06/04/2020,2020,4,April,6,2,Monday,0106,20200406010602,35.264473,-80.876720,-9003155.65,4199881.243
15427,1040487,2,Serious injury,27,Head On,22/08/2020,2020,8,August,22,7,Saturday,1411,20200822141101,35.260185,-80.960792,-9012514.505,4199296.64
15548,1040824,1,fatality,14,Pedestrian,12/06/2020,2020,6,June,12,6,Friday,2310,20200612231001,35.276574,-80.793508,-8993892.53,4201531.195
15585,1040872,2,Serious injury,1,Ran off road right,23/08/2020,2020,8,August,23,1,Sunday,2205,20200823220500,35.256205,-80.902453,-9006020.235,4198754.057
15677,1041400,2,Serious injury,2,Ran off road left,27/08/2020,2020,8,August,27,5,Thursday,2003,20200827200303,35.201432,-80.780174,-8992408.195,4191289.69
15679,1041508,1,fatality,23,Left turn; same roadway,25/07/2020,2020,7,July,25,7,Saturday,1248,20200725124806,35.172721,-80.859661,-9001256.649,4187379.017
16033,1042342,1,fatality,14,Pedestrian,20/07/2020,2020,7,July,20,2,Monday,1138,20200720113802,35.210313,-80.679895,-8981245.184,4192499.635
16034,1042344,1,fatality,2,Ran off road left,22/07/2020,2020,7,July,22,4,Wednesday,2234,20200722223406,35.227355,-80.746828,-8988696.134,4194821.803
16039,1042352,1,fatality,5,Overturn/rollover,21/08/2020,2020,8,August,22,7,Saturday,0019,20200822001900,35.444452,-80.895558,-9005252.688,4224446.581
16081,1042400,2,Serious injury,2,Ran off road left,31/08/2020,2020,8,August,31,2,Monday,1714,20200831171400,35.215793,-80.577379,-8969833.152,4193246.295
16135,1042572,1,fatality,14,Pedestrian,21/08/2020,2020,8,August,21,6,Friday,2112,20200821211201,35.290576,-80.968420,-9013363.65,4203440.651
16348,1043034,2,Serious injury,14,Pedestrian,04/09/2020,2020,9,September,4,6,Friday,0209,20200904020900,35.298373,-80.994543,-9016271.65,4204504.074
16556,1043693,1,fatality,1,Ran off road right,12/07/2020,2020,7,July,12,1,Sunday,2354,20200712235404,35.135808,-80.759210,-8990074.492,4182353.193
16804,1044301,1,fatality,30,Angle,25/03/2020,2020,3,March,25,4,Wednesday,2056,20200325205601,35.290669,-80.756991,-8989827.475,4203453.336
16955,1044698,2,Serious injury,14,Pedestrian,02/07/2020,2020,7,July,2,5,Thursday,1659,20200702165900,35.209318,-80.916298,-9007561.453,4192364.069
17033,1044795,2,Serious injury,21,Rear end; slow or stop,13/09/2020,2020,9,September,13,1,Sunday,1434,20200913143400,35.228168,-80.775290,-8991864.51,4194932.595
17037,1044800,2,Serious injury,21,Rear end; slow or stop,13/09/2020,2020,9,September,13,1,Sunday,1620,20200913162002,35.317618,-80.824656,-8997359.91,4207129.313
17326,1045573,2,Serious injury,20,Parked motor vehicle,17/09/2020,2020,9,September,17,5,Thursday,1314,20200917131400,35.222297,-80.835496,-8998566.613,4194132.541
17554,1046273,2,Serious injury,2,Ran off road left,19/09/2020,2020,9,September,19,7,Saturday,0748,20200919074800,35.189835,-80.929209,-9008998.7,4189709.917
17619,1046466,2,Serious injury,2,Ran off road left,12/09/2020,2020,9,September,12,7,Saturday,0331,20200912033101,35.423431,-80.827354,-8997660.251,4221574.598
18252,1047951,1,fatality,2,Ran off road left,19/09/2020,2020,9,September,19,7,Saturday,1804,20200919180402,35.272881,-80.765555,-8990780.815,4201027.635
18607,1048794,2,Serious injury,30,Angle,02/10/2020,2020,10,October,2,6,Friday,1134,20201002113403,35.165017,-80.850261,-9000210.246,4186329.904
19306,1050231,1,fatality,27,Head On,25/06/2020,2020,6,June,25,5,Thursday,0511,20200625051100,35.227160,-80.680903,-8981357.394,4194795.229
19462,1050515,2,Serious injury,30,Angle,10/10/2020,2020,10,October,10,7,Saturday,1402,20201010140200,35.307648,-80.752380,-8989314.18,4205769.213
19609,1050897,1,fatality,27,Head On,04/09/2020,2020,9,September,4,6,Friday,2028,20200904202803,35.258267,-80.788281,-8993310.662,4199035.161
19610,1050898,1,fatality,23,Left turn; same roadway,05/09/2020,2020,9,September,5,7,Saturday,1740,20200905174002,35.309369,-80.974828,-9014076.986,4206003.978
19937,1051716,1,fatality,2,Ran off road left,05/08/2020,2020,8,August,5,4,Wednesday,1811,20200805181100,35.264310,-80.752472,-8989324.422,4199859.021
19938,1051718,1,fatality,27,Head On,06/09/2020,2020,9,September,6,1,Sunday,0426,20200906042600,35.137830,-80.879305,-9003443.41,4182628.435
20041,1051943,2,Serious injury,30,Angle,16/10/2020,2020,10,October,16,6,Friday,1147,20201016114700,35.168108,-80.964285,-9012903.343,4186750.817
20208,1052349,2,Serious injury,2,Ran off road left,17/10/2020,2020,10,October,17,7,Saturday,0344,20201017034400,35.293839,-80.856558,-9000911.226,4203885.675
20228,1052372,2,Serious injury,15,Pedalcyclist,18/10/2020,2020,10,October,18,1,Sunday,2056,20201018205600,35.119359,-80.953350,-9011686.064,4180114.342
20292,1052546,1,fatality,14,Pedestrian,02/08/2020,2020,8,August,2,1,Sunday,0438,20200802043800,35.290690,-80.757018,-8989830.48,4203456.2
20312,1052573,2,Serious injury,14,Pedestrian,16/10/2020,2020,10,October,16,6,Friday,2120,20201016212502,35.204274,-80.803571,-8995012.737,4191676.869
20482,1052972,2,Serious injury,27,Head On,31/08/2020,2020,8,August,31,2,Monday,0238,20200831023802,35.220666,-80.831117,-8998079.145,4193910.291
20486,1052979,2,Serious injury,14,Pedestrian,07/10/2020,2020,10,October,7,4,Wednesday,1756,20201007175605,35.182065,-80.754986,-8989604.278,4188651.595
20805,1053759,1,fatality,2,Ran off road left,25/09/2020,2020,9,September,25,6,Friday,2154,20200925215400,35.227876,-80.746462,-8988655.391,4194892.803
20806,1053760,1,fatality,30,Angle,01/10/2020,2020,10,October,1,5,Thursday,2042,20201001204202,35.227891,-80.873492,-9002796.31,4194894.846
20897,1053970,1,fatality,15,Pedalcyclist,28/09/2020,2020,9,September,28,2,Monday,0457,20200928045702,35.256523,-80.981177,-9014783.753,4198797.408
21206,1054775,2,Serious injury,27,Head On,10/10/2020,2020,10,October,10,7,Saturday,0932,20201010093200,35.334984,-80.930846,-9009180.931,4209498.77
21827,1056120,2,Serious injury,24,Left turn; different roadways,13/10/2020,2020,10,October,13,3,Tuesday,2200,20201013220002,35.290996,-80.969290,-9013460.498,4203497.932
22110,1056872,1,fatality,1,Ran off road right,15/07/2020,2020,7,July,15,4,Wednesday,1507,20200715150706,35.200638,-80.773877,-8991707.215,4191181.522
22313,1057320,2,Serious injury,2,Ran off road left,11/11/2020,2020,11,November,11,4,Wednesday,1311,20201111131100,35.286781,-80.800843,-8994709.058,4202923.094
22656,1058134,1,fatality,2,Ran off road left,30/07/2020,2020,7,July,30,5,Thursday,1338,20200730133801,35.213479,-80.790394,-8993545.88,4192931.002
23036,1058897,1,fatality,2,Ran off road left,01/10/2020,2020,10,October,1,5,Thursday,2240,20201001224000,35.210189,-80.665256,-8979615.577,4192482.741
23436,1059798,2,Serious injury,29,Sideswipe; opposite direction,22/11/2020,2020,11,November,22,1,Sunday,1741,20201122174103,35.299174,-80.980849,-9014747.241,4204613.327
23874,1060848,2,Serious injury,20,Parked motor vehicle,27/11/2020,2020,11,November,27,6,Friday,2222,20201127222200,35.239207,-80.846426,-8999783.336,4196437.06
24176,1061633,1,fatality,14,Pedestrian,27/08/2020,2020,8,August,27,5,Thursday,2316,20200827231600,35.202863,-80.725921,-8986368.776,4191484.641
24248,1061832,2,Serious injury,1,Ran off road right,19/11/2020,2020,11,November,19,5,Thursday,0622,20201119062200,35.246061,-81.004759,-9017408.89,4197371.27
24609,1062682,2,Serious injury,15,Pedalcyclist,18/11/2020,2020,11,November,18,4,Wednesday,1505,20201118150501,35.375770,-80.919715,-9007941.833,4215065.711
24677,1062760,1,fatality,14,Pedestrian,20/01/2020,2020,1,January,21,3,Tuesday,1559,20200121155900,35.152842,-80.877331,-9003223.665,4184672.143
24678,1062761,1,fatality,5,Overturn/rollover,14/02/2020,2020,2,February,15,7,Saturday,1750,20200215175304,35.297887,-80.891340,-9004783.141,4204437.786
24679,1062762,1,fatality,1,Ran off road right,16/04/2020,2020,4,April,17,6,Friday,2121,20200417212100,35.244553,-80.849540,-9000129.985,4197165.721
24680,1062866,1,fatality,14,Pedestrian,08/08/2020,2020,8,August,8,7,Saturday,0604,20200808060400,35.118982,-80.927187,-9008773.611,4180063.034
24682,1062872,1,fatality,1,Ran off road right,27/09/2020,2020,9,September,27,1,Sunday,0337,20200927033700,35.215419,-80.841643,-8999250.894,4193195.334
24789,1062992,1,fatality,21,Rear end; slow or stop,07/08/2020,2020,8,August,8,7,Saturday,1540,20200808154003,35.307938,-80.844251,-8999541.216,4205808.772
25247,1064189,2,Serious injury,1,Ran off road right,12/12/2020,2020,12,December,12,7,Saturday,1839,20201212183904,35.238664,-80.737883,-8987700.381,4196363.053
25785,1065465,1,fatality,2,Ran off road left,09/10/2020,2020,10,October,9,6,Friday,0608,20201009060800,35.119946,-80.995048,-9016327.865,4180194.229
25936,1065862,1,fatality,24,Left turn; different roadways,30/09/2020,2020,9,September,30,4,Wednesday,0752,20200930075204,35.239896,-80.972260,-9013791.117,4196530.968
26126,1066306,1,fatality,14,Pedestrian,20/12/2020,2020,12,December,20,1,Sunday,2212,20201220221202,35.247178,-80.786664,-8993130.658,4197523.527
26165,1066347,2,Serious injury,1,Ran off road right,24/12/2020,2020,12,December,24,5,Thursday,0345,20201224034500,35.197804,-80.939651,-9010161.098,4190795.45
26562,1067591,2,Serious injury,24,Left turn; different roadways,06/08/2020,2020,8,August,6,5,Thursday,0655,20200806065501,35.190987,-80.963860,-9012856.033,4189866.835
26563,1067597,2,Serious injury,1,Ran off road right,17/10/2020,2020,10,October,17,7,Saturday,0223,20201017022303,35.255002,-80.873261,-9002770.595,4198590.06
26953,1068488,2,Serious injury,28,Sideswipe; same direction,04/01/2021,2021,1,January,4,2,Monday,1551,20210104155100,35.308970,-80.718720,-8985567.165,4205949.55
26968,1068610,1,fatality,28,Sideswipe; same direction,05/09/2020,2020,9,September,5,7,Saturday,1649,20200905164902,35.216151,-80.883729,-9003935.888,4193295.074
26969,1068611,1,fatality,14,Pedestrian,06/09/2020,2020,9,September,6,1,Sunday,0339,20200906033900,35.221076,-80.826614,-8997577.873,4193966.16
26970,1068616,1,fatality,14,Pedestrian,17/10/2020,2020,10,October,17,7,Saturday,2131,20201017213102,35.260141,-80.855204,-9000760.499,4199290.642
27003,1068657,2,Serious injury,21,Rear end; slow or stop,05/01/2021,2021,1,January,5,3,Tuesday,0820,20210105082003,35.136606,-80.783250,-8992750.613,4182461.819
27177,1069174,2,Serious injury,1,Ran off road right,07/05/2020,2020,5,May,7,5,Thursday,1808,20200507180801,35.339187,-80.704777,-8984015.037,4210072.315
27210,1069227,2,Serious injury,14,Pedestrian,07/01/2021,2021,1,January,7,5,Thursday,2229,20210107222901,35.196934,-80.762715,-8990464.667,4190676.935
27408,1069776,1,fatality,23,Left turn; same roadway,22/08/2020,2020,8,August,22,7,Saturday,1207,20200822120701,35.264895,-80.902565,-9006032.703,4199938.778
27900,1071014,1,fatality,21,Rear end; slow or stop,01/12/2020,2020,12,December,1,3,Tuesday,1808,20201201180802,35.282418,-80.779056,-8992283.74,4202328.103
27904,1071021,2,Serious injury,30,Angle,09/01/2021,2021,1,January,9,7,Saturday,2129,20210109212900,35.307002,-80.850580,-9000245.758,4205681.092
27961,1071085,1,fatality,27,Head On,06/05/2020,2020,5,May,7,5,Thursday,1805,20200507180801,35.337874,-80.706606,-8984218.641,4209893.139
27962,1071087,1,fatality,14,Pedestrian,26/08/2020,2020,8,August,27,5,Thursday,2251,20200827225104,35.122355,-80.883919,-9003957.038,4180522.09
27967,1071322,2,Serious injury,14,Pedestrian,07/01/2021,2021,1,January,7,5,Thursday,1844,20210107184402,35.247606,-80.788544,-8993339.939,4197581.867
28221,1071950,2,Serious injury,21,Rear end; slow or stop,19/01/2021,2021,1,January,19,3,Tuesday,1711,20210119171105,35.216860,-80.835390,-8998554.813,4193391.681
28457,1072553,2,Serious injury,23,Left turn; same roadway,22/01/2021,2021,1,January,22,6,Friday,1329,20210122132900,35.124928,-80.878574,-9003362.035,4180872.28
28785,1073374,1,fatality,14,Pedestrian,17/07/2020,2020,7,July,17,6,Friday,2355,20200717235500,35.194821,-80.788147,-8993295.745,4190389.095
28786,1073383,1,fatality,23,Left turn; same roadway,14/11/2020,2020,11,November,15,1,Sunday,0014,20201115001400,35.241627,-80.993775,-9016186.156,4196766.9
28787,1073386,1,fatality,14,Pedestrian,04/01/2021,2021,1,January,4,2,Monday,1348,20210104134803,35.228873,-80.808979,-8995614.754,4195028.671
28946,1073795,1,fatality,24,Left turn; different roadways,23/12/2020,2020,12,December,23,4,Wednesday,2144,20201223214401,35.287505,-80.727462,-8986540.32,4203021.831
29222,1074566,1,fatality,1,Ran off road right,29/01/2021,2021,1,January,29,6,Friday,1542,20210129154200,35.262148,-80.850214,-9000205.014,4199564.262
